Középszer utca,0,3;2,2,1,-,-,-,-,-,-,-,-
Középszer utca2,0,2;2,1,1,-,-,-,-,-,-,-,-
Középszer utca3,0,2;2,2,4,-,-,-,-,-,-,-,-
Abaúji utca,-,-,-,-,0,1,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
Acél utca,-,-,-,-,0,2,1,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,2,4
Áchim András utca,-,-,-,-,0,5,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Ács utca,-,-,-,-,0,2,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Adler Károly utca,-,-,-,-,0,5,2,3,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,3
Adriányi János utca,-,-,-,-,0,4,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
Ady Endre utca,-,-,-,-,0,4,2,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,1,4
Aggteleki utca,-,-,-,-,0,5,2,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,1,4
Ághegy utca,-,-,-,-,0,4,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Akác út (Lyukóvölgy),-,-,-,-,0,2,1,4,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,4
Akácos utca,-,-,-,-,0,5,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,2,5
Akna utca,-,-,-,-,0,2,1,3,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,3
Aknász utca,-,-,-,-,0,1,1,3,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,3
Ákos utca,-,-,-,-,0,4,1,2,3,1.8.;2.5.;3.5.;4.9.;5.7.;6.4.;7.2.;8.6.;9.3.;10.1.;11.5.;12.3.,2,2
Alföldi utca,-,-,-,-,0,2,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,1,2
Alkotmány utca,-,-,-,-,0,1,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,1,2
Almás utca,-,-,-,-,0,2,1,3,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,3
Almáskert utca,-,-,-,-,0,1,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Álmos utca,-,-,-,-,0,4,2,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,1,4
Alsó Papirgyár telep,-,-,-,-,0,2,1,1,3,1.8.;2.5.;3.5.;4.9.;5.7.;6.4.;7.2.;8.6.;9.3.;10.1.;11.5.;12.3.,2,1
Alsóruzsin,-,-,-,-,0,3,-,-,-,-,-,-
Alsószinva utca,-,-,-,-,0,2,1,3,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,3
Andor utca,-,-,-,-,0,5,1,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,2,4
Andrássy utca (páros oldal),-,-,-,-,0,1,1,4,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,4
Andrássy utca (páratlan oldal),-,-,-,-,0,2,1,4,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,4
Anna utca,-,-,-,-,0,5,2,4,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,1,4
Annabánya telep,-,-,-,-,0,3,1,4,3,1.12.;2.9.;3.9.;4.13.;5.11.;6.15.;7.13.;8.10.;9.14.;10.12.;11.9.;12.14.,2,4
Apáczai Csere János utca,-,-,-,-,0,5,2,3,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,3
Apátsági út,-,-,-,-,0,4,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Aradi utca,-,-,-,-,0,4,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
Arany János utca,-,-,-,-,0,1,2,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,1,4
Aranyeső utca,-,-,-,-,0,5,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
Arnóti sor,-,-,-,-,0,2,-,-,-,-,-,-
Árnyas utca,-,-,-,-,0,4,1,1,3,1.8.;2.5.;3.5.;4.9.;5.7.;6.4.;7.2.;8.6.;9.3.;10.1.;11.5.;12.3.,2,1
Árok utca,-,-,-,-,0,2,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Árpád út (páratlan oldal),-,-,-,-,0,2,1,2,3,1.8.;2.5.;3.5.;4.9.;5.7.;6.4.;7.2.;8.6.;9.3.;10.1.;11.5.;12.3.,2,2
Árvácska utca,-,-,-,-,0,5,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,2,5
Árvíz utca,-,-,-,-,0,1,1,2,3,1.8.;2.5.;3.5.;4.9.;5.7.;6.4.;7.2.;8.6.;9.3.;10.1.;11.5.;12.3.,2,2
Ásító dűlő,-,-,-,-,0,1,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
Asztalos utca,-,-,-,-,0,2,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Attila utca,-,-,-,-,0,4,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Aulich Lajos utca,-,-,-,-,0,1,2,3,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,3
Avar utca,-,-,-,-,0,4,1,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,2,4
Avasalja utca,-,-,-,-,0,2,1,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,2,4
Avasalja köz,-,-,-,-,0,3,1,4,3,1.7.;2.4.;3.4.;4.1.;5.6.;6.3.;7.1.;8.5.;9.2.;10.7.;11.4.;12.2.,2,4
Babér utca,-,-,-,-,0,1,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,1,2
Babits Mihály utca,-,-,-,-,0,5,2,2,3,1.6.;2.3.;3.3.;4.7.;5.5.;6.2.;7.7.;8.4.;9.1.;10.6.;11.3.;12.1.,-,-
Bábonyibérc alsósor,-,-,-,-,0,4,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Bábonyibérc Felső sor,-,-,-,-,0,4,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Bábonyibérc sor,-,-,-,-,0,4,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Bábonyibérc Új telep,-,-,-,-,0,4,2,4,3,1.13.;2.10.;3.10.;4.14.;5.12.;6.9.;7.14.;8.11.;9.8.;10.13.;11.10.;12.8.,1,4
Bacsinszky András utca,-,-,-,-,0,2,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Bádogos utca,-,-,-,-,0,2,2,1,3,1.4.;2.1.;3.1.;4.12.;5.3.;6.7.;7.5.;8.2.;9.6.;10.4.;11.8.;12.6.,1,1
Baghy Gyula utca,-,-,-,-,0,4,2,3,3,1.5.;2.2.;3.2.;4.6.;5.4.;6.1.;7.6.;8.3.;9.7.;10.5.;11.2.;12.7.,1,3
